Title,Column 1,Column 2
常量,值,含义
SHT_NULL,0,无效段
SHT_PROGBITS,1,程序段、代码段、数据段都是这种类型
SHT_SYMTAB,2,表示该段的内容为符号表
SHT_STRTAB,3,表示该段的内容为字符串表
SHT_RELA,4,重定位表
SHT_HASH,5,符号表的哈希表
SHT_DYNAMIC,6,动态链接信息
SHT_NOTE,7,提示性信息
SHT_NOBITS,8,表示该段在文件中没内容，比如.bss段
SHT_REL,9,这段包含了重定位信息
SHT_SHLIB,10,保留
SHT_DNYSYM,11,动态链接的符号表
