Title,Column 1,Column 2
宏定义名,值,说明
SHN_ABS,0xfff1,表示该符号包含了一个绝对的值。表示文件名的符号就是这种类型
SHN_COMMON,0xfff2,表示该符号是一个“COMMON块“类型的符号，一般来说，未初始化的全局符号定义就是这种类型的
SHN_UNDEF,0,表示该符号未定义。这个符号表示该符号在本目标文件被引用到，但是定义在其他目标文件中
